	PSSM-Id	CD accession	CD short name	CD description	PSSM-Length
264	223166	COG0088	RplD	Ribosomal protein L4 [Translation, ribosomal structure and biogenesis]. 	214
265	223167	COG0089	RplW	Ribosomal protein L23 [Translation, ribosomal structure and biogenesis]. 	94
266	223168	COG0090	RplB	Ribosomal protein L2 [Translation, ribosomal structure and biogenesis]. 	275
267	223169	COG0091	RplV	Ribosomal protein L22 [Translation, ribosomal structure and biogenesis]. 	120
268	223170	COG0092	RpsC	Ribosomal protein S3 [Translation, ribosomal structure and biogenesis]. 	233
269	223171	COG0093	RplN	Ribosomal protein L14 [Translation, ribosomal structure and biogenesis]. 	122
270	223172	COG0094	RplE	Ribosomal protein L5 [Translation, ribosomal structure and biogenesis]. 	180
272	223174	COG0096	RpsH	Ribosomal protein S8 [Translation, ribosomal structure and biogenesis]. 	132
273	223175	COG0097	RplF	Ribosomal protein L6P/L9E [Translation, ribosomal structure and biogenesis]. 	178
274	223176	COG0098	RpsE	Ribosomal protein S5 [Translation, ribosomal structure and biogenesis]. 	181
275	223177	COG0099	RpsM	Ribosomal protein S13 [Translation, ribosomal structure and biogenesis]. 	121
276	223178	COG0100	RpsK	Ribosomal protein S11 [Translation, ribosomal structure and biogenesis]. 	129
278	223180	COG0102	RplM	Ribosomal protein L13 [Translation, ribosomal structure and biogenesis]. 	148
279	223181	COG0103	RpsI	Ribosomal protein S9 [Translation, ribosomal structure and biogenesis]. 	130
360	223262	COG0184	RpsO	Ribosomal protein S15P/S13E [Translation, ribosomal structure and biogenesis]. 	89
361	223263	COG0185	RpsS	Ribosomal protein S19 [Translation, ribosomal structure and biogenesis]. 	93
362	223264	COG0186	RpsQ	Ribosomal protein S17 [Translation, ribosomal structure and biogenesis]. 	87
373	223275	COG0197	RplP	Ribosomal protein L16/L10AE [Translation, ribosomal structure and biogenesis]. 	146
374	223276	COG0198	RplX	Ribosomal protein L24 [Translation, ribosomal structure and biogenesis]. 	104
375	223277	COG0199	RpsN	Ribosomal protein S14 [Translation, ribosomal structure and biogenesis]. 	61
376	223278	COG0200	RplO	Ribosomal protein L15 [Translation, ribosomal structure and biogenesis]. 	152
379	223281	COG0203	RplQ	Ribosomal protein L17 [Translation, ribosomal structure and biogenesis]. 	116
387	223289	COG0211	RpmA	Ribosomal protein L27 [Translation, ribosomal structure and biogenesis]. 	87
398	223300	COG0222	RplL	Ribosomal protein L7/L12 [Translation, ribosomal structure and biogenesis]. 	124
403	223305	COG0227	RpmB	Ribosomal protein L28 [Translation, ribosomal structure and biogenesis]. 	77
404	223306	COG0228	RpsP	Ribosomal protein S16 [Translation, ribosomal structure and biogenesis]. 	87
406	223308	COG0230	RpmH	Ribosomal protein L34 [Translation, ribosomal structure and biogenesis]. 	44
414	223316	COG0238	RpsR	Ribosomal protein S18 [Translation, ribosomal structure and biogenesis]. 	75
420	223322	COG0244	RplJ	Ribosomal protein L10 [Translation, ribosomal structure and biogenesis]. 	175
430	223332	COG0254	RpmE	Ribosomal protein L31 [Translation, ribosomal structure and biogenesis]. 	75
431	223333	COG0255	RpmC	Ribosomal protein L29 [Translation, ribosomal structure and biogenesis]. 	69
432	223334	COG0256	RplR	Ribosomal protein L18 [Translation, ribosomal structure and biogenesis]. 	125
433	223335	COG0257	RpmJ	Ribosomal protein L36 [Translation, ribosomal structure and biogenesis]. 	38
437	223339	COG0261	RplU	Ribosomal protein L21 [Translation, ribosomal structure and biogenesis]. 	103
443	223345	COG0267	RpmG	Ribosomal protein L33 [Translation, ribosomal structure and biogenesis]. 	50
444	223346	COG0268	RpsT	Ribosomal protein S20 [Translation, ribosomal structure and biogenesis]. 	88
466	223368	COG0291	RpmI	Ribosomal protein L35 [Translation, ribosomal structure and biogenesis]. 	65
467	223369	COG0292	RplT	Ribosomal protein L20 [Translation, ribosomal structure and biogenesis]. 	118
508	223410	COG0333	RpmF	Ribosomal protein L32 [Translation, ribosomal structure and biogenesis]. 	57
510	223412	COG0335	RplS	Ribosomal protein L19 [Translation, ribosomal structure and biogenesis]. 	115
534	223436	COG0359	RplI	Ribosomal protein L9 [Translation, ribosomal structure and biogenesis]. 	148
535	223437	COG0360	RpsF	Ribosomal protein S6 [Translation, ribosomal structure and biogenesis]. 	112
694	223596	COG0522	RpsD	Ribosomal protein S4 or related protein [Translation, ribosomal structure and biogenesis]. 	205
711	223613	COG0539	RpsA	Ribosomal protein S1 [Translation, ribosomal structure and biogenesis]. 	541
996	223898	COG0828	RpsU	Ribosomal protein S21 [Translation, ribosomal structure and biogenesis]. 	67
1375	224277	COG1358	Rpl7Ae	Ribosomal protein L7Ae or related RNA K-turn-binding protein [Translation, ribosomal structure and biogenesis]. 	116
1399	224301	COG1383	RPS17A	Ribosomal protein S17E [Translation, ribosomal structure and biogenesis]. 	74
1486	224388	COG1471	RPS4A	Ribosomal protein S4E  [Translation, ribosomal structure and biogenesis]. 	241
1566	224469	COG1552	RPL40A	Ribosomal protein L40E  [Translation, ribosomal structure and biogenesis]. 	50
1642	224546	COG1631	RPL42A	Ribosomal protein L44E  [Translation, ribosomal structure and biogenesis]. 	94
1643	224547	COG1632	RPL15A	Ribosomal protein L15E  [Translation, ribosomal structure and biogenesis]. 	195
1727	224631	COG1717	Rpl32e	Ribosomal protein L32E  [Translation, ribosomal structure and biogenesis]. 	133
1737	224641	COG1727	RPL18A	Ribosomal protein L18E  [Translation, ribosomal structure and biogenesis]. 	122
1834	224738	COG1825	RplY	Ribosomal protein L25 (general stress protein Ctc) [Translation, ribosomal structure and biogenesis]. 	93
1850	224754	COG1841	RpmD	Ribosomal protein L30/L7E [Translation, ribosomal structure and biogenesis]. 	55
1898	224802	COG1890	RPS3A	Ribosomal protein S3AE  [Translation, ribosomal structure and biogenesis]. 	214
1919	224823	COG1911	RPL30E	Ribosomal protein L30E  [Translation, ribosomal structure and biogenesis]. 	100
2004	224908	COG1997	RPL43A	Ribosomal protein L37AE/L43A  [Translation, ribosomal structure and biogenesis]. 	89
2005	224909	COG1998	RPS27AE	Ribosomal protein S27AE  [Translation, ribosomal structure and biogenesis]. 	51
2011	224915	COG2004	RPS24A	Ribosomal protein S24E  [Translation, ribosomal structure and biogenesis]. 	107
2014	224918	COG2007	RPS8A	Ribosomal protein S8E  [Translation, ribosomal structure and biogenesis]. 	127
2058	224962	COG2051	RPS27A	Ribosomal protein S27E  [Translation, ribosomal structure and biogenesis]. 	67
2060	224964	COG2053	RPS28A	Ribosomal protein S28E/S33  [Translation, ribosomal structure and biogenesis]. 	69
2065	224969	COG2058	RPP1A	Ribosomal protein L12E/L44/L45/RPP1/RPP2  [Translation, ribosomal structure and biogenesis]. 	109
2082	224986	COG2075	RPL24A	Ribosomal protein L24E  [Translation, ribosomal structure and biogenesis]. 	66
2104	225008	COG2097	RPL31A	Ribosomal protein L31E  [Translation, ribosomal structure and biogenesis]. 	89
2132	225036	COG2125	RPS6A	Ribosomal protein S6E (S10)  [Translation, ribosomal structure and biogenesis]. 	120
2133	225037	COG2126	RPL37A	Ribosomal protein L37E  [Translation, ribosomal structure and biogenesis]. 	61
2146	225050	COG2139	RPL21A	Ribosomal protein L21E  [Translation, ribosomal structure and biogenesis]. 	98
2154	225058	COG2147	RPL19A	Ribosomal protein L19E  [Translation, ribosomal structure and biogenesis]. 	150
2164	225068	COG2157	RPL20A	Ribosomal protein L20A (L18A)  [Translation, ribosomal structure and biogenesis]. 	85
2170	225074	COG2163	RPL14A	Ribosomal protein L14E/L6E/L27E  [Translation, ribosomal structure and biogenesis]. 	125
2174	225078	COG2167	RPL39	Ribosomal protein L39E  [Translation, ribosomal structure and biogenesis]. 	51
2181	225085	COG2174	RPL34A	Ribosomal protein L34E  [Translation, ribosomal structure and biogenesis]. 	93
2243	225147	COG2238	RPS19A	Ribosomal protein S19E (S16A)  [Translation, ribosomal structure and biogenesis]. 	147
2391	225295	COG2451	Rpl35A	Ribosomal protein L35AE/L33A  [Translation, ribosomal structure and biogenesis]. 	100
3894	226798	COG4352	RPL13	Ribosomal protein L13E  [Translation, ribosomal structure and biogenesis]. 	113
4263	227167	COG4830	RPS26B	Ribosomal protein S26  [Translation, ribosomal structure and biogenesis]. 	108
4334	227238	COG4901	RPS25	Ribosomal protein S25  [Translation, ribosomal structure and biogenesis]. 	107
4352	227256	COG4919	RPS30	Ribosomal protein S30  [Translation, ribosomal structure and biogenesis]. 	54
4474	227378	COG5045	COG5045	Ribosomal protein S10E [Translation, ribosomal structure and biogenesis]. 	105
4480	227384	COG5051	RPL36A	Ribosomal protein L36E [Translation, ribosomal structure and biogenesis]. 	97
7049	177670	PLN00036	PLN00036	40S ribosomal protein S4; Provisional	261
7138	165706	PLN00138	PLN00138	large subunit ribosomal protein LP2; Provisional	113
7146	215075	PLN00146	PLN00146	40S ribosomal protein S15a; Provisional	130
7183	177779	PLN00185	PLN00185	60S ribosomal protein L4-1; Provisional	405
7184	215093	PLN00186	PLN00186	ribosomal protein S26; Provisional	109
7187	177783	PLN00189	PLN00189	40S ribosomal protein S9; Provisional	194
7188	177784	PLN00190	PLN00190	60S ribosomal protein L21; Provisional	158
7204	165774	PLN00209	PLN00209	ribosomal protein S27; Provisional	86
7205	177799	PLN00210	PLN00210	40S ribosomal protein S16; Provisional	141
8113	178621	PLN03072	PLN03072	60S ribosomal protein L12; Provisional	166
8184	178692	PLN03147	PLN03147	ribosomal protein S19; Provisional	92
8202	178710	PLN03166	PLN03166	60S ribosomal protein L34; Provisional	96
8276	234564	PRK00001	rplC	50S ribosomal protein L3; Validated	210
8278	234566	PRK00004	rplX	50S ribosomal protein L24; Reviewed	105
8283	178791	PRK00010	rplE	50S ribosomal protein L5; Validated	179
8290	234576	PRK00019	rpmE	50S ribosomal protein L31; Reviewed	72
8310	234588	PRK00040	rpsP	30S ribosomal protein S16; Reviewed	75
8358	234632	PRK00099	rplJ	50S ribosomal protein L10; Reviewed	172
8384	178888	PRK00132	rpsI	30S ribosomal protein S9; Reviewed	130
8388	234658	PRK00136	rpsH	30S ribosomal protein S8; Validated	130
8389	234659	PRK00137	rplI	50S ribosomal protein L9; Reviewed	147
8391	234661	PRK00140	rplK	50S ribosomal protein L11; Validated	141
8402	234671	PRK00157	rplL	50S ribosomal protein L7/L12; Reviewed	123
8409	234676	PRK00172	rpmI	50S ribosomal protein L35; Reviewed	65
8443	178943	PRK00239	rpsT	30S ribosomal protein S20; Reviewed	88
8455	234707	PRK00270	rpsU	30S ribosomal protein S21; Reviewed	64
8478	178971	PRK00306	PRK00306	50S ribosomal protein L29; Reviewed	66
8479	234722	PRK00310	rpsC	30S ribosomal protein S3; Reviewed	232
8495	178985	PRK00357	rpsS	30S ribosomal protein S19; Reviewed	92
8497	234736	PRK00359	rpmB	50S ribosomal protein L28; Reviewed	76
8508	178997	PRK00391	rpsR	30S ribosomal protein S18; Reviewed	79
8515	179004	PRK00399	rpmH	50S ribosomal protein L34; Reviewed	44
8525	179013	PRK00415	rps27e	30S ribosomal protein S27e; Reviewed	59
8534	234760	PRK00432	PRK00432	30S ribosomal protein S27ae; Validated	50
8547	179034	PRK00453	rpsF	30S ribosomal protein S6; Reviewed	108
8551	234773	PRK00461	rpmC	50S ribosomal protein L29; Reviewed	87
8553	179039	PRK00465	rpmJ	50S ribosomal protein L36; Reviewed	37
8556	179041	PRK00474	rps9p	30S ribosomal protein S9P; Reviewed	134
8565	234783	PRK00504	rpmG	50S ribosomal protein L33; Validated	50
8573	179057	PRK00528	rpmE	50S ribosomal protein L31; Reviewed	71
8578	234790	PRK00550	rpsE	30S ribosomal protein S5; Validated	168
8586	234793	PRK00565	rplV	50S ribosomal protein L22; Reviewed	112
8598	179075	PRK00595	rpmG	50S ribosomal protein L33; Validated	53
8599	179076	PRK00596	rpsJ	30S ribosomal protein S10; Reviewed	102
8655	234833	PRK00773	rplX	50S ribosomal protein LX; Validated	76
8666	179131	PRK00807	PRK00807	50S ribosomal protein L24e; Validated	52
8674	179138	PRK00831	rpmJ	50S ribosomal protein L36; Validated	41
8744	179205	PRK01018	PRK01018	50S ribosomal protein L30e; Reviewed	99
8766	234901	PRK01110	rpmF	50S ribosomal protein L32; Validated	60
8774	234908	PRK01143	rpl11p	50S ribosomal protein L11P; Validated	163
8776	179234	PRK01151	rps17E	30S ribosomal protein S17e; Validated	58
8785	179239	PRK01178	rps24e	30S ribosomal protein S24e; Reviewed	99
8789	234915	PRK01191	rpl24p	50S ribosomal protein L24P; Validated	120
8790	234916	PRK01192	PRK01192	50S ribosomal protein L31e; Reviewed	89
8811	179261	PRK01242	rpl39e	50S ribosomal protein L39e; Validated	50
8850	179294	PRK01397	PRK01397	50S ribosomal protein L31; Provisional	78
8889	234969	PRK01678	rpmE2	type B 50S ribosomal protein L31. 	87
9054	235062	PRK02724	PRK02724	30S ribosomal protein PSRP-3. 	104
9292	235183	PRK03976	rpl37ae	50S ribosomal protein L37Ae; Reviewed	90
9306	235196	PRK04005	PRK04005	50S ribosomal protein L18e; Provisional	111
9307	235197	PRK04007	rps28e	30S ribosomal protein S28e; Validated	70
9314	179712	PRK04019	rplP0	acidic ribosomal protein P0; Validated	330
9315	235201	PRK04020	rps2P	30S ribosomal protein S2; Provisional	204
9320	235204	PRK04027	PRK04027	30S ribosomal protein S7P; Reviewed	195
9324	179721	PRK04034	rps8p	30S ribosomal protein S8P; Reviewed	130
9326	235209	PRK04038	rps19p	30S ribosomal protein S19P; Provisional	134
9328	235211	PRK04042	rpl4lp	50S ribosomal protein L4P; Provisional	254
9330	235213	PRK04044	rps5p	30S ribosomal protein S5P; Reviewed	211
9332	235214	PRK04049	PRK04049	30S ribosomal protein S8e; Validated	127
9333	179730	PRK04051	rps4p	30S ribosomal protein S4P; Validated	177
9334	235215	PRK04053	rps13p	30S ribosomal protein S13P; Reviewed	149
9336	235216	PRK04057	PRK04057	30S ribosomal protein S3Ae; Validated	203
9337	179734	PRK04059	rpl34e	50S ribosomal protein L34e; Validated	88
9350	179746	PRK04136	rpl40e	50S ribosomal protein L40e; Provisional	48
9370	179766	PRK04175	rpl7ae	50S ribosomal protein L7Ae; Validated	122
9372	235242	PRK04179	rpl37e	50S ribosomal protein L37e; Reviewed	62
9379	235247	PRK04191	rps3p	30S ribosomal protein S3P; Reviewed	207
9384	235252	PRK04199	rpl10e	50S ribosomal protein L16. 	172
9387	235254	PRK04203	rpl1P	50S ribosomal protein L1P; Reviewed	215
9393	235257	PRK04211	rps12P	30S ribosomal protein S12P; Reviewed	145
9397	235259	PRK04219	rpl5p	50S ribosomal protein L5P; Reviewed	177
9399	179794	PRK04223	rpl22p	50S ribosomal protein L22P; Reviewed	153
9400	235260	PRK04231	rpl3p	50S ribosomal protein L3P; Reviewed	337
9404	235263	PRK04243	PRK04243	50S ribosomal protein L15e; Validated	196
9417	235271	PRK04290	PRK04290	30S ribosomal protein S6e; Validated	115
9422	235275	PRK04306	PRK04306	50S ribosomal protein L21e; Reviewed	98
9427	179820	PRK04313	PRK04313	30S ribosomal protein S4e; Validated	237
9435	235283	PRK04333	PRK04333	50S ribosomal protein L14e; Validated	84
9438	179831	PRK04337	PRK04337	50S ribosomal protein L35Ae; Validated	87
9558	235355	PRK05163	rpsL	30S ribosomal protein S12; Validated	124
9564	235358	PRK05179	rpsM	30S ribosomal protein S13; Validated	122
9568	179959	PRK05185	rplT	50S ribosomal protein L20; Provisional	114
9610	235396	PRK05299	rpsB	30S ribosomal protein S2; Provisional	258
9612	235398	PRK05302	PRK05302	30S ribosomal protein S7; Validated	156
9616	180007	PRK05309	PRK05309	30S ribosomal protein S11; Validated	128
9620	235404	PRK05319	rplD	50S ribosomal protein L4; Provisional	205
9627	235411	PRK05327	rpsD	30S ribosomal protein S4; Validated	203
9634	235418	PRK05338	rplS	50S ribosomal protein L19; Provisional	116
9680	180071	PRK05424	rplA	50S ribosomal protein L1; Validated	230
9689	235464	PRK05435	rpmA	50S ribosomal protein L27; Validated	82
9726	180117	PRK05483	rplN	50S ribosomal protein L14; Validated	122
9727	235495	PRK05498	rplF	50S ribosomal protein L6; Validated	178
9731	235496	PRK05518	rpl6p	50S ribosomal protein L6P; Reviewed	180
9750	235510	PRK05573	rplU	50S ribosomal protein L21; Validated	103
9759	235517	PRK05583	PRK05583	ribosomal protein L7Ae family protein; Provisional	104
9766	235522	PRK05591	rplQ	50S ribosomal protein L17; Validated	113
9767	235523	PRK05592	rplO	50S ribosomal protein L15; Reviewed	146
9768	235524	PRK05593	rplR	50S ribosomal protein L18; Reviewed	117
9777	235532	PRK05610	rpsQ	30S ribosomal protein S17; Reviewed	84
9778	180163	PRK05611	rpmD	50S ribosomal protein L30; Reviewed	59
9782	235534	PRK05618	PRK05618	50S ribosomal protein L25/general stress protein Ctc; Reviewed	197
9786	180170	PRK05626	rpsO	30S ribosomal protein S15; Reviewed	89
9867	235586	PRK05738	rplW	50S ribosomal protein L23; Reviewed	92
9885	235598	PRK05766	rps14P	30S ribosomal protein S14P; Reviewed	52
9886	180247	PRK05767	rpl44e	50S ribosomal protein L44e; Validated	92
9984	180318	PRK05943	PRK05943	50S ribosomal protein L25; Reviewed	94
10049	235683	PRK06049	rpl30p	50S ribosomal protein L30P; Reviewed	154
10214	235775	PRK06299	rpsA	30S ribosomal protein S1; Reviewed	565
10253	235793	PRK06394	rpl13p	50S ribosomal protein L13P; Reviewed	146
10257	235795	PRK06402	rpl12p	50S ribosomal protein L12P; Reviewed	106
10264	235799	PRK06419	rpl15p	50S ribosomal protein L15P; Reviewed	148
10387	235851	PRK06676	rpsA	30S ribosomal protein S1; Reviewed	390
10505	180742	PRK06911	rpsN	30S ribosomal protein S14; Reviewed	100
10739	180960	PRK07400	PRK07400	30S ribosomal protein S1; Reviewed	318
10960	236126	PRK07899	rpsA	30S ribosomal protein S1; Reviewed	486
11019	181216	PRK08061	rpsN	type Z 30S ribosomal protein S14. 	61
11308	236287	PRK08561	rps15p	30S ribosomal protein S15P; Reviewed	151
11309	236288	PRK08562	rpl32e	50S ribosomal protein L32e; Validated	125
11315	236294	PRK08569	rpl18p	50S ribosomal protein L18P; Reviewed	193
11316	236295	PRK08570	rpl19e	50S ribosomal protein L19e; Reviewed	150
11317	181478	PRK08571	rpl14p	50S ribosomal protein L14P; Reviewed	132
11318	236296	PRK08572	rps17p	30S ribosomal protein S17P; Reviewed	108
11422	181574	PRK08881	rpsN	30S ribosomal protein S14; Reviewed	101
11553	236411	PRK09203	rplP	50S ribosomal protein L16; Reviewed	138
11560	181703	PRK09216	rplM	50S ribosomal protein L13; Reviewed	144
11642	236470	PRK09333	PRK09333	30S ribosomal protein S19e; Provisional	150
11643	181784	PRK09334	PRK09334	30S ribosomal protein S25e; Provisional	86
11644	181785	PRK09335	PRK09335	30S ribosomal protein S26e; Provisional	95
11645	181786	PRK09336	PRK09336	30S ribosomal protein S30e; Provisional	50
11666	236488	PRK09374	rplB	50S ribosomal protein L2; Validated	276
11859	236588	PRK09607	rps11p	30S ribosomal protein S11P; Reviewed	132
11861	236589	PRK09612	rpl2p	50S ribosomal protein L2P; Validated	238
13332	183392	PRK12271	rps10p	30S ribosomal protein S10P; Reviewed	102
13337	183397	PRK12277	PRK12277	50S ribosomal protein L13e; Provisional	83
13338	237034	PRK12278	PRK12278	50S ribosomal protein L21. 	221
13340	237035	PRK12280	rplW	50S ribosomal protein L23; Reviewed	158
13341	183399	PRK12281	rplX	50S ribosomal protein L24; Reviewed	76
13346	237038	PRK12286	rpmF	50S ribosomal protein L32; Reviewed	57
13370	183428	PRK12311	rpsB	30S ribosomal protein S2. 	326
13763	183731	PRK12766	PRK12766	50S ribosomal protein L32e; Provisional	232
14164	184030	PRK13400	PRK13400	30S ribosomal protein S18; Provisional	147
14165	184031	PRK13401	PRK13401	30S ribosomal protein S18; Provisional	82
14334	184172	PRK13600	PRK13600	putative ribosomal protein L7Ae-like; Provisional	84
14335	184173	PRK13601	PRK13601	putative L7Ae-like ribosomal protein; Provisional	82
14336	184174	PRK13602	PRK13602	50S ribosomal protein L7ae-like protein. 	82
14535	237516	PRK13806	rpsA	30S ribosomal protein S1; Provisional	491
14784	172564	PRK14074	rpsF	30S ribosomal protein S6; Provisional	257
15203	184724	PRK14520	rpsP	30S ribosomal protein S16; Provisional	155
15204	237744	PRK14521	rpsP	30S ribosomal protein S16; Provisional	186
15205	172988	PRK14522	rpsP	30S ribosomal protein S16; Provisional	116
15206	172989	PRK14523	rpsP	30S ribosomal protein S16; Provisional	137
15207	172990	PRK14524	rpsP	30S ribosomal protein S16; Provisional	94
15208	172991	PRK14525	rpsP	30S ribosomal protein S16; Provisional	88
15220	237748	PRK14537	PRK14537	50S ribosomal protein L20/unknown domain fusion protein; Provisional	230
15222	184732	PRK14539	PRK14539	50S ribosomal protein L11/unknown domain fusion protein; Provisional	196
15229	184735	PRK14547	rplD	50S ribosomal protein L4; Provisional	298
15230	237750	PRK14548	PRK14548	50S ribosomal protein L23P; Provisional	84
15231	237751	PRK14549	PRK14549	50S ribosomal protein L29P; Provisional	69
15428	184811	PRK14753	PRK14753	30S ribosomal protein Thx; Provisional	27
15552	184885	PRK14891	PRK14891	50S ribosomal protein L24e/unknown domain fusion protein; Provisional	131
15567	184900	PRK14907	rplD	50S ribosomal protein L4; Provisional	295
16075	185402	PTZ00026	PTZ00026	60S ribosomal protein L15; Provisional	204
16076	240234	PTZ00027	PTZ00027	60S ribosomal protein L6; Provisional	190
16077	185404	PTZ00028	PTZ00028	40S ribosomal protein S6e; Provisional	218
16078	185405	PTZ00029	PTZ00029	60S ribosomal protein L10a; Provisional	216
16079	185406	PTZ00030	PTZ00030	60S ribosomal protein L20; Provisional	121
16080	173329	PTZ00031	PTZ00031	ribosomal protein L2; Provisional	317
16081	240235	PTZ00032	PTZ00032	60S ribosomal protein L18; Provisional	211
16082	140068	PTZ00033	PTZ00033	60S ribosomal protein L24; Provisional	125
16083	173331	PTZ00034	PTZ00034	40S ribosomal protein S10; Provisional	124
16088	173336	PTZ00039	PTZ00039	40S ribosomal protein S20; Provisional	115
16090	240239	PTZ00041	PTZ00041	60S ribosomal protein L35a; Provisional	120
16102	185418	PTZ00054	PTZ00054	60S ribosomal protein L23; Provisional	139
16113	240252	PTZ00065	PTZ00065	60S ribosomal protein L14; Provisional	130
16116	240253	PTZ00068	PTZ00068	60S ribosomal protein L13a; Provisional	202
16117	240254	PTZ00069	PTZ00069	60S ribosomal protein L5; Provisional	300
16118	240255	PTZ00070	PTZ00070	40S ribosomal protein S2; Provisional	257
16119	240256	PTZ00071	PTZ00071	40S ribosomal protein S24; Provisional	132
16120	185427	PTZ00072	PTZ00072	40S ribosomal protein S13; Provisional	148
16121	240257	PTZ00073	PTZ00073	60S ribosomal protein L37; Provisional	91
16122	185429	PTZ00074	PTZ00074	60S ribosomal protein L34; Provisional	135
16124	173371	PTZ00076	PTZ00076	60S ribosomal protein L17; Provisional	253
16130	185434	PTZ00083	PTZ00083	40S ribosomal protein S27; Provisional	85
16131	240260	PTZ00084	PTZ00084	40S ribosomal protein S3; Provisional	220
16132	240261	PTZ00085	PTZ00085	40S ribosomal protein S28; Provisional	73
16133	185437	PTZ00086	PTZ00086	40S ribosomal protein S16; Provisional	147
16137	173384	PTZ00090	PTZ00090	40S ribosomal protein S11; Provisional	233
16138	185439	PTZ00091	PTZ00091	40S ribosomal protein S5; Provisional	193
16142	140127	PTZ00095	PTZ00095	40S ribosomal protein S19; Provisional	169
16143	185442	PTZ00096	PTZ00096	40S ribosomal protein S15; Provisional	143
16144	185443	PTZ00097	PTZ00097	60S ribosomal protein L19; Provisional	175
16150	240267	PTZ00103	PTZ00103	60S ribosomal protein L3; Provisional	390
16152	240269	PTZ00105	PTZ00105	60S ribosomal protein L12; Provisional	140
16153	185450	PTZ00106	PTZ00106	60S ribosomal protein L30; Provisional	108
16162	240276	PTZ00115	PTZ00115	40S ribosomal protein S12; Provisional	290
16165	240277	PTZ00118	PTZ00118	40S ribosomal protein S4; Provisional	262
16166	240278	PTZ00119	PTZ00119	40S ribosomal protein S15; Provisional	302
16176	185465	PTZ00129	PTZ00129	40S ribosomal protein S14; Provisional	149
16181	185469	PTZ00134	PTZ00134	40S ribosomal protein S18; Provisional	154
